NEU,NPC
Xkr4,Xkr4
Sntg1,Oprk1
Rrs1,Npbwr1
Prex2,Alkal1
Msc,Sntg1
Rdh10,Rrs1
Jph1,Tcf24
Kcnq5,Prex2
Col19a1,A830018L16Rik
Dst,Sulf1
Ptpn18,Slco5a1
Amer3,Msc
Arid5a,Kcnb2
Sema4c,Sbspon
Mgat4a,4930444P10Rik
Npas2,Jph1
Creg2,Gm16070
Slc9a2,Kcnq5
Gulp1,Rims1
Slc40a1,Col19a1
Satb2,Dst
Spats2l,Ptpn18
Nrp2,Amer3
Fzd5,Arhgef4
Unc80,Arid5a
Acadl,Sema4c
Erbb4,Mgat4a
Marchf4,Cracdl
Igfbp5,Lonrf2
Sgpp2,Npas2
Ap1s3,Creg2
Serpine2,Rfx8
Dock10,Il1rl2
Spata3,Slc9a2
2810459M11Rik,Gulp1
Nppc,Slc40a1
Efhd1,Nabp1
Neu2,Hecw2
Lrrfip1,Ankrd44
Asb1,Mob4
Slco4c1,Rftn2
Cdh20,Boll
Tnfrsf11a,9130024F11Rik
Bcl2,Satb2
Tfcp2l1,Spats2l
Inhbb,Fzd7
Ralb,Ica1l
Tmem163,Nrp2
Rassf5,Adam23
Slc45a3,Creb1
Klhdc8a,Fzd5
Etnk2,Unc80
Sox13,Erbb4
Adora1,Mreg
Syt2,Marchf4
Nav1,Igfbp2
Phlda3,Igfbp5
Lad1,Tns1
Gpr25,Ctdsp1
Tsen15,Ttll4
Colgalt2,Cyp27a1
Nmnat2,Wnt6
Lamc2,Wnt10a
BC034090,Cdk5r2
Tdrd5,Mir375
Dnm3,Cfap65
Prrx1,Ihh
Atp1b1,Tuba4a
Sft2d2,Asic4
Rcsd1,Obsl1
Creg1,Sgpp2
Aldh9a1,Ap1s3
Mgst3,Serpine2
Rxrg,Dock10
Pcp4l1,Sphkap
Kcnj9,Spata3
Kif26b,2810459M11Rik
Itpkb,B3gnt7
Tmem63a,Nppc
Cnih3,Ecel1
Susd4,Efhd1
Taf1a,Neu2
Tgfb2,Gbx2
Ptpn14,Ackr3
Smyd2,Lrrfip1
Prox1os,Erfe
Batf3,Asb1
Ppp2r5a,Sned1
Traf5,Bok
Ppp1r14c,Slco4c1
Cnksr3,Cdh20
Lrp11,Tnfrsf11a
Ust,Bcl2
Samd5,Cdh7
Utrn,Tfcp2l1
Stx11,Gli2
Phactr2,Inhbb
Adgrg6,Sctr
Slc35d3,Tmem37
Map3k5,C1ql2
Map7,En1
Myb,Htr5b
Eya4,Lypd1
Moxd1,Tmem163
Gm15270,Cxcr4
Enpp1,Thsd7b
Gm9767,Cd55
Rspo3,Rassf5
Hey2,Rab29
Hs3st5,Slc45a3
Mfsd4b3-ps,Mfsd4a
Slc16a10,Cdk18
Gpr6,Lemd1
Foxo3,Klhdc8a
Nr2e1,Cntn2
Ostm1,Nfasc
Prdm1,Lrrn2
Bves,Plekha6
Lin28b,Etnk2
Rfx6,Atp2b4
Fam184a,Adora1
Gm16998,Syt2
Sh3rf3,Lgr6
Spock2,Timm17a
Chst3,Gm4793
Unc5b,Nav1
Adamts14,Phlda3
Pald1,Lad1
Atoh7,Tmem9
Egr2,Ascl5
Ado,Kif21b
Zfp365,Gpr25
Ank3,Lhx9
Slc16a9,Brinp3
Bicc1,Hmcn1
Tfam,Niban1
Pcdh15,Colgalt2
Gnaz,Rgl1
Adarb1,Nmnat2
Icosl,Lamc2
Plpp2,Shcbp1l
C2cd4c,Rgs8
Hcn2,Rnasel
Tcf3,Cacna1e
Lingo3,BC034090
Zbtb7a,Fam163a
Tle2,Tdrd5
Chst11,Brinp2
Slc41a2,Dnm3
Abtb3,Prrx1
Prdm4,Atp1b1
Ascl4,Rcsd1
Timp3,Creg1
Ascl1,Ildr2
Ano4,Fam78b
Ntn4,Aldh9a1
Usp44,Mgst3
Plxnc1,Rxrg
Dusp6,Lmx1a
Kitl,Nos1ap
Lin7a,Olfml2b
Pawr,Pcp4l1
Syt1,F11r
Kcnc2,Nhlh1
Gm15723,Kcnj9
Lgr5,Tagln2
Ptprr,4933439K11Rik
Frs2,Rgs7
Cpm,Pld5
Hmga2,Kif26b
Msrb3,Smyd3
Rassf3,Itpkb
Avpr1a,Stum
Mir8104,Mixl1
Tafa2,Tmem63a
Lrig3,Cnih3
B4galnt1,Susd4
Nxph4,Taf1a
Gls2,Hlx
Esyt1,C130074G19Rik
Erbb3,Esrrg
Dgka,Kctd3
Selenom,Ptpn14
Tbc1d10a,Prox1os
Cabp7,Batf3
Nefh,Nenf
Gas2l1,Ppp2r5a
Kremen1,Traf5
Znrf3,Kcnh1
Camk2b,A730013G03Rik
Adcy1,Ppp1r14c
Tns3,Syne1
Vwc2,Rgs17
Ikzf1,Lrp11
Cobl,Ust
Vstm2a,Samd5
Meis1,Stxbp5
Otx1,Grm1
Ccdc85a,Utrn
Eml6,Stx11
Stc2,Sf3b5
Rhbdf1,Plagl1
Fgf18,Phactr2
Fbll1,Hivep2
Gabra1,Adgrg6
Adam19,Nhsl1
Ltc4s,Hebp2
Adamts2,Gm32926
Zfp354b,Perp
Rmnd5b,Il20ra
N4bp3,Slc35d3
Jade2,Map3k5
Or2y7,Map7
Fstl4,Myb
Sowaha,Sgk1
Irf1,Slc2a12
Slc22a21,Eya4
Slc22a4,Moxd1
P4ha2,Gm15270
Specc1,Enpp1
Adora2b,Gm9767
Hs3st3a1,Ptprk
Arhgap44,Rspo3
Shisa6,Hey2
Gas7,Tpd52l1
Usp43,Gm15939
Ntn1,Dse
Arhgef15,Hs3st5
Hes7,Slc16a10
Gucy2e,Mettl24
Kcnab3,Gpr6
Ybx2,Foxo3
Pitpnm3,Sobp
Smtnl2,Cd24a
Spns2,Crybg1
Camkk1,Prdm1
Ccdc92b,Gm15934
Hic1,Bves
Mir212,Lin28b
Rtn4rl1,Sim1
Myo1c,Rfx6
Rflnb,Vgll2
Nxn,Fam184a
Timm22,Gm16998
Abr,Pkib
Nsrp1,Edar
Coro6,Spock2
Trp53i13,Chst3
Myo18a,Unc5b
Mir193a,Adamts14
Adap2,Pald1
Myo1d,Nodal
Tmem132e,Lrrc20
Mmp28,Col13a1
Dusp14,Atoh7
Aatf,Dnajc12
Tspoap1,Lrrtm3
Akap1,Egr2
Nog,Ado
Car10,Zfp365
Cacna1g,Tmem26
Itga3,Ank3
Nxph3,Slc16a9
Epop,Bicc1
Mllt6,Tfam
Plxdc1,Ube2d1
Stac2,Pcdh15
Ppp1r1b,Gnaz
Erbb2,Bcr
Zpbp2,Adora2a
Rapgefl1,Lrrc75b
Gjd3,Gstt3
Hap1,Gstt1
Jup,Gstt2
P3h4,Gm5134
Stat5b,Col18a1
Cntnap1,Adarb1
Vps25,Lrrc3
Etv4,Icosl
Sost,Syde1
Adam11,Plpp2
Acbd4,C2cd4c
Fmnl1,Hcn2
Crhr1,Tmem259
Mapt,Cnn2
Itgb3,Abca7
Ace,Polr2e
Taco1,Cirbp
Slc16a6,Tcf3
Sdk2,Onecut3
Rpl38,Amh
Gprc5c,Lingo3
Llgl2,Diras1
Syngr2,Zbtb7a
Cbx2,Gipc3
Cbx8,Hmg20b
Cbx4,Celf5
Mir1932,Tle2
Nptx1,Chst11
Gm11762,Slc41a2
Notum,Aldh1l2
Rac3,Tcp11l2
Metrnl,Rfx4
Fkbp1b,Cry1
Kcns3,Abtb3
Lratd1,Pwp1
Greb1,Ascl4
E2f6,Timp3
Kcnf1,Ascl1
Cys1,Igf1
Lamb1,Ano4
Slc26a4,Ntn4
Ahr,Usp44
Meox2,Tmcc3
Stxbp6,Plxnc1
Nova1,Socs2
Coch,Dusp6
Npas3,Kitl
Egln3,Alx1
Insm2,Lin7a
Sstr1,Pawr
Lrfn5,Syt1
Mdga2,Nav3
4930512B01Rik,Kcnc2
Nin,Gm15723
Gpr135,Lgr5
Rtn1,Ptprr
Six4,Kcnmb4os2
Prkch,Cpm
Syt16,Tmbim4
Rhoj,Hmga2
Hspa2,Msrb3
Mir5135,Wif1
Sptb,Tbc1d30
Rab15,Rassf3
Plekhh1,D930020B18Rik
Arg2,Srgap1
Zfp36l1,Avpr1a
Galnt16,Mir8104
Plekhd1,Tafa2
Ccdc177,Lrig3
Smoc1,Eef1akmt3
Slc8a3,B4galnt1
Map3k9,Kif5a
Dpf3,Gli1
Acot5,Ndufa4l2
Mideas,Nxph4
Syndig1l,Stat6
Fos,Nab2
Jdp2,Nemp1
Zdhhc22,Gls2
Ism2,Spryd4
Flrt2,Esyt1
Ptpn21,Erbb3
Kcnk13,Dgka
Tc2n,Itga7
Fbln5,Pik3ip1
Slc24a4,Selenom
Prima1,Osbp2
Ppp4r4,Slc35e4
Syne3,Castor1
Tunar,Cabp7
Bcl11b,Nipsnap1
Hhipl1,Nefh
Wdr20,Rasl10a
Tnfaip2,Kremen1
Ppp1r13b,Znrf3
Inf2,Aebp1
Zbtb42,Camk2b
Cep170b,Adcy1
Ptprn2,Igfbp3
Dnah11,Sun3
Sp8,Upp1
Pfkp,Vwc2
Chrm3,Ikzf1
Ryr2,Grb10
Edaradd,Cobl
Gng4,Vstm2a
Gli3,Egfr
Elmo1,Meis1
Pom121l2,Otx1
Btn1a1,Rel
Carmil1,Ccdc85a
Mboat1,Efemp1
Foxq1,Eml6
Foxf2,Stc2
Gm15908,Rhbdf1
Eci3,Hbq1a
Rreb1,Stk10
Bmp6,Fgf18
Gfod1,Tlx3
Cd83,Slit3
Mylip,Fbll1
Gmpr,Wwc1
Atxn1,Gabra1
Nxnl2,C1qtnf2
Shc3,Ebf1
Ror2,Sox30
Faf2,Adam19
Gprin1,Nipal4
Sncb,Trim7
Tspan17,Flt4
Unc5a,Gfpt2
Neurog1,Rasgef1c
Spock1,Ltc4s
Ntrk2,Adamts2
Ptch1,Grm6
Habp4,Zfp354b
Cdc14b,Col23a1
Zfp87,Rmnd5b
Adcy2,N4bp3
Nkd2,Jade2
Tppp,Or2y7
Pcsk1,Tcf7
Ell2,Fstl4
Gpr150,Shroom1
Mctp1,Sowaha
Adgrv1,Il13
Rasgrf2,Mir7671
Ankrd34b,Irf1
Lhfpl2,Gm12216
F2rl1,Slc22a21
Sv2c,Slc22a4
Gcnt4,Pdlim4
Cartpt,P4ha2
Ocln,Ccdc69
Mast4,Galnt10
Htr1a,Igtp
Elovl7,Trim58
Map3k1,Wnt9a
Mcidas,Pld6
Fst,Rasd1
Isl1,Srebf1
Abhd6,Kcnj12
Fezf2,Aldh3a2
Thrb,Slc47a2
Nid2,Rnf112
Zfp503,Fam83g
4930519K11Rik,Specc1
Anxa11,Adora2b
Il17rd,Trpv2
Wnt5a,Pmp22
Cacna2d3,Hs3st3b1
Chdh,Hs3st3a1
Prkcd,Arhgap44
Sfmbt1,Myocd
Gdf10,Shisa6
Gprin2,Gas7
Grid1,Usp43
Nrg3,Ntn1
Cdkn3,Arhgef15
Samd4,Hes7
Gch1,Aloxe3
Slc35f4,Gucy2e
Rem2,Kcnab3
Ajuba,Atp1b2
Jph4,Chrnb1
Ltb4r2,Fgf11
Nfatc4,Tmem102
Gjb2,Kctd11
Dleu2,Ybx2
Xkr6,Cldn7
Pnma2,Slc16a11
Dock5,Bcl6b
Nefl,Zmynd15
Nefm,Pld2
Nkx3-1,Pitpnm3
Slc25a37,Smtnl2
Loxl2,Spns2
Egr3,Rap1gap2
Ppp3cc,Ccdc92b
Hr,Hic1
Fndc3a,Dph1
Dgkh,Rtn4rl1
Gm9748,Mir22hg
Pcdh17,Slc43a2
Klhl1,Myo1c
Dach1,1700016K19Rik
Klf5,Rflnb
Lmo7,Abr
Spry2,Slc6a4
Gpc5,Coro6
Abcc4,Abhd15
Dzip1,Sez6
Hs6st3,Sarm1
Farp1,Rab11fip4
Dock9,Mir193a
Clybl,Adap2
Nalcn,Cdk5r1
Ptger4,Myo1d
Gdnf,Asic2
Npr3,Tmem132e
Myo10,Rffl
Fbxl7,Rasl10b
Ankrd33b,Mmp28
Matn2,Dusp14
Nipal2,Aatf
Kcns2,Lhx1
Fbxo43,Mrm1
Zfpm2,Dhrs11
Rspo2,Rnf43
Med30,Tspoap1
Zhx2,Akap1
Fbxo32,Trim25
Adcy8,Nog
Ndrg1,Pctp
St3gal1,Hlf
Fam135b,Tom1l1
Adgrb1,Car10
Them6,Cacna1g
Ly6h,Col1a1
Nrbp2,Itga3
Plec,Dlx3
Dgat1,Tac4
Scrt1,Fam117a
Cacng2,Spop
Mpst,Nxph3
Elfn2,Ngfr
Kcnj4,Tbx21
Pdgfb,Arhgap23
Chadl,4933428G20Rik
Shisa8,Epop
Scube1,Mllt6
Sult4a1,Plxdc1
Ppara,Stac2
Mapk8ip2,Med1
Shank3,Cdk12
Syt10,Neurod2
Cpne8,Ppp1r1b
Pdzrn4,Ikzf3
Rapgef3,Zpbp2
Col2a1,Rapgefl1
Ccdc184,Wipf2
Kcnh3,Rara
Bcdin3d,Gjd3
Racgap1,Hap1
Slc11a2,Jup
Scn8a,Cnp
Rarg,Kcnh4
Smug1,Hcrt
Zfp385a,Stat5b
Adcy9,Stat5a
Alg1,Cavin1
Rbfox1,Coasy
Abat,Plekhh3
Carhsp1,Cntnap1
Grin2a,Ccr10
Socs1,Wnk4
Shisa9,Arl4d
Mir193b,Etv4
Cebpd,Sost
Pkp2,Nags
Fgd4,Ubtf
Eif2b5,Grn
Vwa5b2,Fam171a2
Ephb3,Adam11
Magef1,Gjc1
P3h2,C1ql1
Mb21d2,Acbd4
Hes1,Hexim1
Gp5,Fmnl1
Fam43a,Arhgap27
Pigz,Wnt9b
Itgb5,Wnt3
Mylk,Crhr1
Adcy5,Mapt
Pdia5,Itgb3
Sema5b,Ace
Parp9,Tex2
Stxbp5l,Helz
Poglut1,Cacng5
Zdhhc23,Apoh
Sidt1,Gm45916
St3gal6,Fam20a
Crybg3,Kcnj2
Epha6,Sstr2
Vgll3,Sdk2
Jam2,Rpl38
Usp16,Kif19a
Grik1,Gprc5c
Kcnj6,Nherf1
Erg,Grin2c
Ets2,Fads6
Bace2,Hid1
Zdhhc14,Llgl2
Fndc1,Itgb4
Mpc1,Exoc7
Pde10a,Foxj1
Dact2,Sphk1
Rgmb,Rhbdf2
Paqr4,Mgat5b
Ntn3,Septin9
Pkd1,Tnrc6c
Syngr3,Tmc8
Meiob,Socs3
Uqcc4,Cyth1
Cacna1h,Rbfox3
Pgap6,Cbx2
Neurl1b,Cbx8
Cpne5,Cbx4
Angptl4,Mir1932
H2-K1,Rnf213
Tap2,Gm11762
Hspa1b,Baiap2
Hspa1a,Reno1
H2-D1,Notum
H2-T23,Rac3
H2-Bl,Dcxr
9130008F23Rik,Slc16a3
Tdrd6,Metrnl
Rcan2,Ncoa1
Tmem151b,Fkbp1b
Nfkbie,Klhl29
Lrrc73,Gdf7
Dlk2,Hs1bp3
Mrps10,Matn3
Tfeb,Osr1
Mdfi,Kcns3
Lrfn2,Rad51ap2
Rftn1,Lratd1
Satb1,Greb1
Gm27217,E2f6
Sema6b,Slc66a3
Crb3,2410004P03Rik
Efna5,Kcnf1
Man2a1,Asap2
Mtcl1,2410018L13Rik
Ptprm,9030624G23Rik
L3mbtl4,Grhl1
Epb41l3,Cys1
Akain1,Kidins220
Dlgap1,Myt1l
Tgif1,Alkal2
Emilin2,Fam110c
Alk,Lamb1
Galnt14,Slc26a4
Qpct,Ferd3l
Cdc42ep3,Twist1
Kcng3,Ahr
Zfp36l2,Meox2
Plekhh2,Scin
Ttc7,Gm2027
Kcnk12,Coch
Adcyap1,Npas3
Bambi,Egln3
Map3k8,Snx6
Jcad,Insm2
Svil,Nkx2-1
Mkx,Slc25a21
Mpp7,Foxa1
Greb1l,Sstr1
Abhd3,Clec14a
Zfp521,Lrfn5
Dsg2,Nin
Klhl14,Trim9
Mocos,Dact1
Epb41l4a,Gpr135
Egr1,Rtn1
Nrg2,Lrrc9
Pura,Dhrs7
Hbegf,Six1
Pcdhac1,Six4
Pcdh1,Tmem30b
Mcc,Prkch
Commd10,Syt16
Sema6a,1700086L19Rik
C030005K06Rik,Rhoj
Prr16,Esr2
Ppic,Akap5
Marchf3,Hspa2
Isoc1,Ppp1r36
Adamts19,Mir5135
Chsy3,Sptb
Smim3,Rab15
Slc6a7,Plek2
Ppargc1b,Plekhh1
Arhgef37,Arg2
Ablim3,Zfp36l1
Onecut2,Galnt16
Atp8b1,Plekhd1
Malt1,Ccdc177
Pmaip1,Smoc1
Gnal,Slc8a3
Impa2,Map3k9
Cidea,Dpf3
Tubb6,Acot1
Mapk4,Acot3
Myo5b,Acot5
Lipg,Acot6
Zbtb7c,Vsx2
St8sia5,Syndig1l
Nfatc1,Pgf
Mbp,Fos
Dipk1c,Jdp2
Neto1,Flvcr2
Cbln2,Tgfb3
Cpt1a,Zdhhc22
Pitpnm1,Gstz1
Gm45928,Ism2
Syt12,Flrt2
Pcx,Ptpn21
Gm960,Kcnk13
Ctsf,Gpr68
Peli3,Tc2n
Npas4,Fbln5
Tmem151a,Slc24a4
Fosl1,Rin3
Rasgrp2,Chga
Rps6ka4,Unc79
Syt7,Prima1
Stx3,Ppp4r4
Vps13a,Gsc
Foxb2,Clmn
Pcsk5,Syne3
Rorb,Tunar
Klf9,Bdkrb2
Pip5k1b,Bcl11b
Foxd4,Hhipl1
Kank1,Dlk1
Glis3,Meg3
Papss2,Ppp2r5c
Ch25h,Wdr20
Pcgf5,Zfp839
Slit1,Amn
Ubtd1,Tnfaip2
4833438C02Rik,Gm266
Ina,Ckb
Neurl1a,Ppp1r13b
Gsto1,Mir203
Sorcs3,Kif26a
Rbm20,Inf2
Vwa2,Adssl1
Afap1l2,Zbtb42
Proser2,Cep170b
Pfkfb3,Jag2
Il15ra,Tmem121
Itga8,Vipr2
C1ql3,Esyt2
St8sia6,Ptprn2
Plxdc2,Dnah11
Nebl,Sp8
Bmi1,Pfkp
Carlr,Chrm3
Pip4k2a,Ryr2
Otud1,Actn2
Etl4,Edaradd
Gpr158,Nid1
Gad2,Gng4
Cacna1b,Hecw1
Tprn,Sfrp4
Grin1,Elmo1
Uap1l1,Nkapl
Kcnt1,Pom121l2
Nacc2,Prss16
Col5a1,4930557F10Rik
Ralgds,Btn1a1
Ntng2,Hfe
Fnbp1,Carmil1
Fibcd1,Dcdc2a
Fam78a,2610307P16Rik
Pip5kl1,Mboat1
Garnl3,Agtr1a
Pbx3,Irf4
Gsn,Foxq1
Stom,Foxc1
Lhx2,Gm15908
Nr6a1,Eci3
Lypd6b,Nrn1
Cacnb4,Rreb1
Galnt13,Dsp
Acvr1c,Bmp6
Rbms1,Mak
Fign,Edn1
Grb14,Gfod1
Cobll1,Cd83
Galnt3,Jarid2
Lrp2,Mylip
Erich2,Gmpr
Cybrd1,Atxn1
Dlx2,Rbm24
Map3k20,Cap2
Wipf1,Nhlrc1
Haglr,Rnf144b
Nfe2l2,Barx1
Zfp385b,Ninj1
Itga4,Card19
Frzb,Susd3
Slc43a1,Fgd3
Rtn4rl2,Nxnl2
C1qtnf4,S1pr3
Pacsin3,Shc3
Creb3l1,Sema4d
Slc35c1,Gadd45g
Chst1,Diras2
Mir129b,Syk
Slc1a2,Nfil3
Abtb2,Ror2
A930018P22Rik,Msx2
Depdc7,Drd1
Prrg4,Cltb
Rcn1,Gprin1
Bdnf,Sncb
Lgr4,Tspan17
Ryr3,Unc5a
Fmn1,Fgfr4
Grem1,Macroh2a1
C130080G10Rik,Neurog1
Gpr176,Cxcl14
Bmf,Tgfbi
Pak6,Spock1
Ankrd63,Klhl3
Inafm2,Ntrk2
Bahd1,Aopep
Gchfr,Ptch1
Gm14207,Slc35d2
Itpka,Habp4
Ltk,1810034E14Rik
Tyro3,Cdc14b
Ehd4,Adcy2
Shf,Ube2ql1
Sema6d,Adamts16
Fbn1,Irx1
Shc4,Slc6a3
Slc27a2,Nkd2
Dusp2,Tppp
Bub1,Cast
Bcl2l11,Pcsk1
Cpxm1,Ell2
Slc4a11,Gpr150
Gfra4,Mctp1
Rassf2,9330111N05Rik
Prokr2,Adgrv1
Lrrn4,Edil3
Bmp2,Acot12
Jag1,Rasgrf2
Ism1,Ankrd34b
Pcsk2os1,Thbs4
Ovol2,Lhfpl2
BC039771,Pde8b
Sstr4,Crhbp
Syndig1,F2rl1
Snph,Sv2c
Tcf15,Gcnt4
